"id";"menu";"name";"phone";"rating";"twitter";"url";"website";"yelp_id";"owner_id";"category1";"category2";"category3";"is_open"
2;"http://www.bonmetruck.com/menu";"Bon Me";"+16176528462";4;"https://twitter.com/bonme";"https://www.yelp.com/biz/bon-me-boston?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://www.bonmetruck.com";"saXIDQwa1XWroW-qGrMtvQ";2;"VIETNAMESE";"CHINESE";"SANDWICHES";""
12;"https://www.grilledcheesenation.net/menu/";"Grilled Cheese Nation";"+16174610176";3;"https://twitter.com/gcnboston";"https://www.yelp.com/biz/grilled-cheese-nation-boston?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"https://www.grilledcheesenation.net/";"hOFIR5nn_7Ks7i7uEohjGg";12;"CHEESE";"SANDWICHES";"AMERICAN";""
3312;"https://cnrguys.com/menu-and-locations/#our-menu";"Chicken & Rice Guys";"+16179038538";5;"https://twitter.com/cnrguys";"https://www.yelp.com/biz/chicken-and-rice-guys-2-lexington?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"https://cnrguys.com/";"ir5TqpRABBNn3eVPFu9YsA";32;"AMERICAN";"SANDWICHES";"CHEESE";""
3302;"http://sategrill.com/menu/";"Saté Asian Grill";"+16176156264";4;"https://twitter.com/SateTweets";"https://www.yelp.com/biz/sat%C3%A9-asian-grill-boston-4?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://sategrill.com/";"Lo7JgnZVBlMSSVfYbKzHrA";32;"AMERICAN";"ASIAN";"BREAKFAST";""
3322;"http://www.meimeiboston.com/menu";"Mei Mei Street Kitchen";"+18572504959";4;"https://twitter.com/meimeiboston";"https://www.yelp.com/biz/mei-mei-street-kitchen-boston-4?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://www.meimeiboston.com/";"SRxyxADqvY3gb8f76nDRTQ";32;"AMERICAN";"ASIAN";"BREAKFAST";""
3332;"http://bostonbacontruck.com/menu.html";"The Bacon Truck";"+12016949060";4;"https://twitter.com/BaconTruckBOS";"https://www.yelp.com/biz/the-bacon-truck-boston?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://bostonbacontruck.com/";"p3CawT4AVQ3LOiq4OQoTaA";32;"AMERICAN";"CHEESE";"SANDWICHES";""
3342;"https://www.complimentsfood.com/our-foods";"Compliments Food";"+16178956058";4;"https://twitter.com/complimentsfood";"https://www.yelp.com/biz/compliments-food-cambridge?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"https://www.complimentsfood.com/";"qytlbr87dHjrWr5t-pRMIA";32;"HALAL";"BREAKFAST";"DRINKS";""
3352;"http://www.thecookiemonstah.com/ox_portfolio/portfolio/";"Cookie Monstah";"+16176156595";4;"https://twitter.com/MonstahTruck";"https://www.yelp.com/biz/cookie-monstah-food-truck-boston?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://www.thecookiemonstah.com/";"Dvw7FkVuMqzUzrv-CQpMpg";32;"AMERICAN";"ICECREAM";"DRINKS";""
3362;"https://www.roxysgrilledcheese.com/#new-page-section";"Roxy's Grilled Cheese";"+16179457244";4;"https://twitter.com/RoxysGrilledChz";"https://www.yelp.com/biz/roxys-grilled-cheese-cambridge-3?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"https://www.roxysgrilledcheese.com";"WFq2lgglSCBETcfoedvbzA";72;"AMERICAN";"CHEESE";"SANDWICHES";""
3372;"http://www.riceburg1.com/catering-menu.html";"Rice Burg";"+16463716531";3;"https://twitter.com/Riceburg1";"https://www.yelp.com/biz/rice-burg-boston?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://www.riceburg1.com/";"CwGXGWKENxJ6XsvuSPs5oQ";82;"JAPANESE";"SANDWICHES";"ASIAN";""
3382;"http://diningcar.net/menu/";"The Dining Car";"+19086923531";3;"https://twitter.com/thediningcar";"https://www.yelp.com/biz/the-dining-car-boston-4?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://diningcar.net/";"T16IHgu69RrBf4-XaF7B3w";92;"AMERICAN";"SANDWICHES";"BURGERS";""
3392;"http://www.tacopartytruck.com/tacopress/#menu";"Taco Party";"+16177640683";4;"https://twitter.com/tacopartytruck";"https://www.yelp.com/biz/taco-party-somerville-4?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://www.tacopartytruck.com/";"ht4FgeAhWVjj4aY7ZMlKzg";102;"TACOS";"CHEESE";"BREAKFAST";""
3402;"http://pennypackersfinefoods.com/#menus-section";"Pennypackers Fine Food";"+18575238053";4;"https://twitter.com/pennypackers";"https://www.yelp.com/biz/pennypackers-fine-food-somerville-2?adjust_creative=BwJ3CMFRDnSBshLJ21wwrg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=BwJ3CMFRDnSBshLJ21wwrg";"http://pennypackersfinefoods.com/";"IBjXi7rUmGpCGBjftd3dcw";112;"SALADS";"SANDWICHES";"AMERICAN";""
3412;"https://www.cloverfoodlab.com/locations/";"Clover Food Lab";"+16175622435";1;"https://twitter.com/cloverfoodlab";"not provided";"https://www.cloverfoodlab.com/";"";122;"VEGETARIAN";"SALADS";"SANDWICHES";""
3432;"http://gogiontheblock.com/menu/foodtruckmenu/";"Goji on the Block";"+16178179079";1;"https://twitter.com/gogiontheblock";"not provided";"http://gogiontheblock.com/";"";122;"AMERICAN";"ASIAN";"BREAKFAST";""
3482;"http://www.bostonteastation.com/menu.html";"Tea Station";"not provided";1;"https://twitter.com/teastationbosto";"";"http://www.bostonteastation.com/";"";32;"ASIAN";"DRINKS";"DESSERT";""
